model,category,image,expected,onnx,same_verdict,abs_diff
patchcore,metal_nut,bent/000.png,0.98336,0.9825806021690369,True,0.0007793978309631466
patchcore,metal_nut,bent/003.png,1.0,1.0,True,0.0
patchcore,metal_nut,bent/004.png,0.992018,0.9911506175994873,True,0.0008673824005126507
patchcore,metal_nut,bent/007.png,0.471009,0.47130927443504333,True,0.00030027443504332396
patchcore,metal_nut,bent/008.png,0.941909,0.9421128034591675,True,0.0002038034591674842
patchcore,metal_nut,bent/010.png,1.0,1.0,True,0.0
patchcore,metal_nut,bent/013.png,0.919424,0.9188086986541748,True,0.0006153013458252143
patchcore,metal_nut,bent/017.png,1.0,1.0,True,0.0
patchcore,metal_nut,bent/018.png,0.905078,0.9054351449012756,True,0.0003571449012755856
patchcore,metal_nut,bent/020.png,1.0,1.0,True,0.0
patchcore,metal_nut,bent/024.png,1.0,1.0,True,0.0
patchcore,metal_nut,color/003.png,1.0,1.0,True,0.0
patchcore,metal_nut,color/004.png,0.374653,0.37473782896995544,True,8.482896995543054e-05
patchcore,metal_nut,color/006.png,0.975997,0.9755914211273193,True,0.0004055788726806675
patchcore,metal_nut,color/008.png,0.895902,0.8956124782562256,True,0.0002895217437743902
patchcore,metal_nut,color/009.png,0.973494,0.9735456705093384,True,5.1670509338408444e-05
patchcore,metal_nut,color/011.png,1.0,1.0,True,0.0
patchcore,metal_nut,color/012.png,0.75816,0.7585006952285767,True,0.0003406952285767151
patchcore,metal_nut,color/014.png,1.0,1.0,True,0.0
patchcore,metal_nut,color/018.png,0.543953,0.5439788103103638,True,2.58103103637497e-05
patchcore,metal_nut,color/019.png,0.665317,0.6602784395217896,True,0.0050385604782104965
patchcore,metal_nut,color/020.png,0.907414,0.9067400693893433,True,0.0006739306106567922
patchcore,metal_nut,color/021.png,0.734118,0.7341859936714172,True,6.799367141718804e-05
patchcore,metal_nut,flip/001.png,1.0,1.0,True,0.0
patchcore,metal_nut,flip/004.png,1.0,1.0,True,0.0
patchcore,metal_nut,flip/006.png,1.0,1.0,True,0.0
patchcore,metal_nut,flip/007.png,1.0,1.0,True,0.0
patchcore,metal_nut,flip/008.png,1.0,1.0,True,0.0
patchcore,metal_nut,flip/009.png,1.0,1.0,True,0.0
patchcore,metal_nut,flip/012.png,1.0,1.0,True,0.0
patchcore,metal_nut,flip/013.png,1.0,1.0,True,0.0
patchcore,metal_nut,flip/014.png,1.0,1.0,True,0.0
patchcore,metal_nut,flip/015.png,1.0,1.0,True,0.0
patchcore,metal_nut,flip/017.png,0.992813,0.993139386177063,True,0.00032638617706304274
patchcore,metal_nut,flip/018.png,1.0,1.0,True,0.0
patchcore,metal_nut,flip/020.png,0.96357,0.9633406400680542,True,0.00022935993194583837
patchcore,metal_nut,good/002.png,0.339551,0.33966684341430664,True,0.0001158434143066489
patchcore,metal_nut,good/003.png,0.183453,0.1836453676223755,True,0.00019236762237548333
patchcore,metal_nut,good/004.png,0.173771,0.1740417182445526,True,0.0002707182445526035
patchcore,metal_nut,good/006.png,0.262243,0.26201093196868896,True,0.00023206803131103904
patchcore,metal_nut,good/008.png,0.323491,0.32326793670654297,True,0.00022306329345700426
patchcore,metal_nut,good/011.png,0.397363,0.3974931836128235,True,0.00013018361282346458
patchcore,metal_nut,good/016.png,0.470552,0.471083402633667,True,0.0005314026336669664
patchcore,metal_nut,good/017.png,0.329917,0.33052298426628113,True,0.0006059842662811121
patchcore,metal_nut,good/018.png,0.145343,0.14469674229621887,True,0.0006462577037811279
patchcore,metal_nut,good/020.png,0.225772,0.22532370686531067,True,0.0004482931346893315
patchcore,metal_nut,good/021.png,0.275849,0.2776530981063843,True,0.0018040981063842665
patchcore,metal_nut,scratch/007.png,1.0,1.0,True,0.0
patchcore,metal_nut,scratch/008.png,1.0,0.999657392501831,True,0.0003426074981689453
patchcore,metal_nut,scratch/011.png,0.933016,0.9333464503288269,True,0.0003304503288269478
patchcore,metal_nut,scratch/012.png,0.794599,0.7949773669242859,True,0.0003783669242858334
patchcore,metal_nut,scratch/014.png,0.824255,0.8240270614624023,True,0.00022793853759761618
patchcore,metal_nut,scratch/015.png,0.933534,0.9335834980010986,True,4.949800109865787e-05
patchcore,metal_nut,scratch/016.png,0.796516,0.79632169008255,True,0.00019430991744995296
patchcore,metal_nut,scratch/017.png,0.853915,0.8539690971374512,True,5.409713745119227e-05
patchcore,metal_nut,scratch/018.png,0.986856,0.9876266717910767,True,0.0007706717910767047
